prompt,completion
what is the ideal feed composition for shrimp?,"The ideal feed composition for shrimp can vary depending on the species of shrimp, their life stage, and specific farming conditions. However, in general, a well-balanced shrimp feed should contain the following components:

Protein: Shrimp require a high protein diet for growth and development. The protein content in shrimp feed typically ranges from 30% to 45% or higher, depending on the life stage and species. Protein sources commonly used in shrimp feed include fishmeal, soybean meal, poultry meal, and other plant and animal protein ingredients.

Carbohydrates: Carbohydrates provide energy to shrimp. The inclusion of carbohydrates in shrimp feed can help reduce costs and improve feed efficiency. Common carbohydrate sources in shrimp feed include wheat, corn, rice bran, and cassava.

Lipids (Fats and Oils): Shrimp require essential fatty acids for energy, hormone synthesis, and maintaining cellular functions. Fish oil, vegetable oils (such as soybean oil or palm oil), and other lipid sources are included in shrimp feed to provide the necessary fats and oils.

Vitamins and Minerals: Shrimp need a range of vitamins and minerals for various physiological functions. Vitamin and mineral premixes are added to shrimp feed to ensure they receive adequate amounts of essential nutrients.

Additives and Supplements: Some shrimp feeds may contain additives and supplements such as probiotics, prebiotics, immunostimulants, and enzymes. These additives aim to improve feed digestibility, enhance shrimp health, and boost overall performance.

It's important to note that the specific feed composition can vary depending on factors such as the availability of ingredients, nutritional requirements of the shrimp species, and the goals of the farming operation. Shrimp farmers often work closely with feed manufacturers and nutritionists to develop feed formulations that meet the nutritional needs of their specific farming systems and target shrimp species."
"Is it correct to use high protein feed initially and switch over to low protein feed? If yes, what is the advantage?",It is good to use a high protein feed during the initial 30 DOC (pre-starter & starter) since the PL/early juveniles require more protein (38%) than the juveniles and it gives better growth.
what is the ideal Feeding frequency to be followed for farned shrimp?,"Here are some guidelines for feeding frequency:\n
Juvenile Shrimp: In the early stages of shrimp farming, post-larvae and juvenile shrimp are typically fed more frequently to support their rapid growth. Feeding can occur multiple times a day, usually ranging from 3 to 6 feedings. The exact frequency and timing may depend on the specific shrimp species, their size, and the availability of feed.\n
Adult Shrimp: As shrimp reach maturity, feeding frequency may be reduced, typically to once or twice a day. Feeding once in the morning and once in the late afternoon or evening is a common practice. However, the actual frequency may be adjusted based on the feeding response of the shrimp, water quality parameters, and farming objectives.\n
It's important to note that the feedings should be spread out over the day, allowing enough time for shrimp to consume the feed and minimizing the risk of overfeeding. Feeding schedules should be consistent and take into account factors such as water temperature, dissolved oxygen levels, and the shrimp's feeding behavior."
What are the ideal times in a day for feeding in shrimp farming?,"The ideal times for feeding in shrimp farming can vary depending on factors such as the species of shrimp, their life stage, farming system, and local conditions. However, there are a few general guidelines that can be followed:
Morning Feeding: Feeding shrimp in the morning is a common practice in shrimp farming. The exact timing can vary but is typically done shortly after sunrise. Feeding in the morning allows shrimp to consume the feed and utilize the energy throughout the day.\n
Late Afternoon/Evening Feeding: Another feeding session can be scheduled in the late afternoon or early evening, a few hours before sunset. This timing allows shrimp to feed and utilize the nutrients during their most active period of the day."
Is it correct to stop feeding by 7.00 PM? Would not the P. vannamei shrimp starve for feed during night hours?,"Yes. P. Vannamei are diurnal feeders hence need more feeding in the day time and it is always advisable to complete the feeding by 7.00 P.M. Due to high stocking density, the chance of reduction in DO during the night time might result in stress to the animal and affect the feeding which results in less feed consumption and more wastage. This unutilized feed would deteriorate the water quality. Wide feed distribution with multiple feedings also helps in the breakdown of organic wastes by beneficial bacteria and reduces ammonia and prevents water quality problems."
What is the required quantity of feed to be kept in check tray for feed monitoring at different stages of culture?,"Generally to start with (30 DOC) 4-6 g per kg of feed is kept in check tray for monitoring.
As the animals grow, the quantity has to be increased slightly and it will reach a maximum level of 8-10 g per kg of feed in the final stages of culture (25-30 g ABW at 100-120 DOC)."
Why does size variation occur in P. vannamei shrimp? How would you minimize the problem through feed management?,"Seed quality is the major factor for size variation. If the quality of the seed is good and it is well fed with a balanced diet, there is less chance for size variation. Underfeeding may lead to size variation. In this condition the dominant and active shrimp will consume enough quantity and would finish the feed quickly while the sluggish and less active shrimp will not get the required quantity resulting in decreased growth. This issue can be managed to a certain extent by means of gap feeding i.e giving the previous grade feed after one hour of routine feeding and mixing the two different sizes of feed (currently using size and a lesser size). During the course of culture, the increase in body weight should correlate with the feed given and the FCR should be in the expected range. If there is any deviation, then the actual reason has to be explored and rectified. If the growth is disproportional then the pond requires adequate attention."
Is it correct to adopt feeding after one week of stocking only and how can we determine the feeding rate initially?,"Initial feeding depends on the natural (plankton) productivity of the pond. As P. vannamei larvae are voracious feeders and are fed @ 6-7 times/ day at the hatchery, it is advisable to start feeding from the date of stocking itself."
What are all the aspects to be kept in mind while adopting the feed dispenser for pond?,"Even though P. vannamei can come to any place for feeding, if it is habituated, it is advisable to keep the feed dispenser at the centre as it facilitates the animals from all sides to come and take the feed. However, the total quantity feed to be fed for the day should be uniformly distributed. The timing between the successive feedings and gap p between the rotations are very important in feed dispensers."
What time of feeding would be appropriate to mix probiotics/supplements for application?,The first meal of the day should be mixed with probiotics/supplements as the hungry animal would consume it fully.
How much of nutrients applied through feed are actually converted into biomass?,"Generally aquatic organisms convert 25% of nitrogen and phosphorous and less than 10% of the carbohydrate matter applied in the feed to biomass. The remaining N, P and organic matter enters the pond as faecal matter, uneaten feed, ammonia, phosphate and carbon dioxide. For every kg of feed fed, about 30 g of ammonia will be excreted by shrimp into the pond. Ammonia and phosphate stimulate phytoplankton production and increase the organic matter as phytoplankton continually die and settle at the bottom as organic matter."
Whether shrimp feed can be evaluated physically? If yes how?,A good quality shrimp feed should have a fishy odour and the feed pellet has to be of uniform size. There should not be any clump formation and musty odour. The bottom of the bag should be free from fine powder.
"How can we ascertain the nutrient content of the feed used by a farmer?","About 200 g of the feed sample has to be collected and sent to the feed laboratory to evaluate the nutrients viz., protein, fat, fiber, total ash and moisture. If the values are lower than the values given in the feed bag,the feed is of lower quality."
What is the standard water stability time for P. vannamei shrimp feed?,"Even though P. vannamei is a fast feeder and it will consume the feed quickly, feed should be water stable for a period of 1-2 hours."
Can we use natural feedstuff like clams to improve the shrimp growth rate?,"No. Since the P. vannamei shrimp is SPF and reared under strict biosecurity protocol, use of live/fresh natural feedstuffs are to be avoided. This will ensure safety to the animal as there is a possibility of introducing disease causing agents through these sources. Moreover, use of natural feedstuffs will lead to deterioration of water quality in the pond."
How long can the feed be stored?,A properly preserved feed can be stored safely for a period of 60-75 days. However it is always advisable to use freshly processed feed to the extent possible.
Can we use different brands of feed in a single culture?,"There is no harm in using different brands as long as the quality is good and the shrimp consumes the feed resulting in good FCR. However if you want to change the feed, it has to be done gradually and not abruptly as the animal has to adapt to a particular feed."
Is there any farm-made feed available for shrimp?,P. vannamei shrimp can be fed with feed prepared at the farm. However the feed has to be prepared scientifically. The details of farm. 
What is FCR?,"FCR stands for Feed Conversion Ratio, and it is a commonly used metric in shrimp farming (and aquaculture in general) to assess the efficiency of feed utilization by shrimp. The FCR is calculated by dividing the amount of feed given to the shrimp by the weight gain of the shrimp. It indicates how much feed is required to produce a unit of shrimp biomass.

The formula to calculate FCR is as follows:

FCR = Total feed given (in weight) / Total weight gain of shrimp

For example, if a shrimp farm used 1000 kilograms of feed and the shrimp gained a total weight of 500 kilograms, the FCR would be:

FCR = 1000 kg feed / 500 kg weight gain = 2:1

In this case, it means that it took 2 kilograms of feed to produce 1 kilogram of shrimp weight gain."
What is Ideal FCR in farmed shrimp?,"The ideal Feed Conversion Ratio (FCR) in shrimp farming can vary depending on several factors, including the species of shrimp, farming conditions, feed quality, and management practices. While there is no universally defined ""ideal"" FCR, achieving a lower FCR is generally desirable as it indicates better feed efficiency and reduced feed costs.

In intensive shrimp farming systems, FCRs ranging from 1.2:1 to 2:1 are often considered good or efficient. This means that it takes around 1.2 to 2 kilograms of feed to produce 1 kilogram of shrimp weight gain. However, it's important to note that the achievable FCR can vary depending on the specific circumstances."
What are the ways to maintain an optimum FCR.,"Techniques to get optimum FCR in shrimp culture are:-
1)Use high quality Feeds.
2)Manage water quality.
3)Control disease.
4)Optimize stocking density.
5)Use probiotics.
6)Feed regularly and appropriately.
7)Keep shrimp healthy.
8)Minimize stress.
9)Preparing the pond throughly.
10)Should not feed the shrimp too late.
11)Adjust the food properly."
What are the factors that lead to substantial improvement in FCR?,"The Factors that can lead to substantial improvement in FCR are:-
1)Water temperature.
2)Feeding frequency."
Why is a good FCR so important?,"1)It measures the efficiency of feed conversion into shrimp biomass.A low FCR means less feed is required to produce a given amount of shrimp, leading to lower production costs.
2)A good FCR also indicates that the shrimp are growing well and are healthy.Shrimp with a poor FCR tend to be smaller and have poorer health.
3)A good FCR is also an indicator of water quality.For example, shrimp with a poor FCR tend to excrete more ammonia, which can lead to water quality problems."
"What are ionized and unionized forms of ammonia and what is their
significance in P. vannamei shrimp culture?","Ionized forms are the readily absorbable forms of minerals and nutrients by the shrimp. Ammonia is present in two forms, ionized (NH4) which is nontoxic, and the toxic form -unionized ammonia (NH3). The shrimp utilize only ionic forms for their metabolic activity.Unionized ammonia(NH3) has been reported to be more toxic than ionized ammonia (NH4) due to its ability to diffuse across cell membranes.The total of both the ionized and un-ionized forms is the total ammonia nitrogen or TAN. The concentration of these depends on water temperature and pH. Higher the water temperature and pH, the greater the concentration of the toxic form of ammonia (NH3)."
Whether application of probiotics and minerals are necessary for phytoplankton development? If so what is their actual role?,"Probiotics could help in regulating the micro flora of the pond water, control pathogenic microorganisms, enhance the decomposition of undesirable organic substances and improve the pond environment. Application of plankton promoters
enhances the availability of nitrates and phosphorus which are important for the planktonic growth. The beneficial bacterial strains inhibit the pathogenic bacteria and help in better survival. In case of low saline water shrimp culture, the pond water has low level of essential minerals like calcium, magnesium, sodium and potassium which might cause stress to the larvae by disturbing the osmo-ionic balance of the shrimp larvae. Beneficial bacteria are helpful in nutrient recycling and organic matter degradation and thus keep the pond environment clean. Therefore, application of probiotics and minerals are essential."
"Whether the lime applied helps in improving the plankton development
also? Which lime material the best?","Yes. Finely crushed agricultural limestone is usually the best material to use at pH levels below 8.3. It is cost-effective and readily
available. Both pond alkalinity and hardness can be increased by adding either CaCO3 (agri-lime) or CaMg(CO3)2 (dolomitic limestone). Both Agri-lime and dolomite are good. Dolomite which is calcium magnesium carbonate promotes plankton growth and helps in photosynthesis of planktons."
Why does the pH change in P. vannamei ponds?,"Fluctuations in pH are the result of the interplay of photosynthesis and respiration. At night time, respiration increases CO2 concentrations, creating carbonic acid and causing pH to fall.During the day, phytoplanktons absorb CO2 for photosynthesis, causing pH to rise.Large daily changes in pH can stress aquatic animals. Most aquaculture species can live in a broad range of alkalinity concentrations, but the desired alkalinity for many animals is 50 mg/L or higher.Liming to raise total alkalinity to the required or preferred range buffers the water and reduces fluctuations in pH."
"What are the optimal water quality parameters? How can we correct (low/high) them during
fluctuation?","To address optimal water quality parameters and how to correct them during fluctuations, it's important to consider that specific water quality requirements vary depending on the aquatic organisms being cultured or the specific purpose of the water system. However, I can provide some general guidance on this topic:
Optimal Water Quality Parameters:
Temperature: The optimal temperature depends on the species being cultured. It's crucial to maintain the recommended temperature range for optimal growth and health.
pH: Different organisms have specific pH requirements. It's important to maintain pH within the recommended range to ensure physiological functions.
Dissolved Oxygen (DO): Adequate DO levels are essential for the survival and growth of aquatic organisms. Maintain DO within the appropriate range based on the species' requirements.
Ammonia (NH3/NH4+): Ammonia is toxic to aquatic organisms. Monitor and control ammonia levels within acceptable limits.
Nitrite (NO2-): Nitrite is another toxic compound. Keep nitrite levels low to ensure the well-being of aquatic species.
Salinity: Salinity requirements vary depending on the species. Maintain salinity levels within the recommended range for the specific organisms.
Turbidity: Turbidity refers to water clarity. Ensure that water is clear and not excessively turbid.
Correcting Water Quality Fluctuations:
Temperature: Use appropriate heating or cooling mechanisms to adjust water temperature within the desired range.
pH: Add pH-adjusting substances (pH increasers or decreasers) to bring the pH back to the desired level.
Dissolved Oxygen: Increase aeration or adjust water flow to enhance oxygenation. Oxygen diffusers or air stones can be used.
Ammonia/Nitrite: Implement proper filtration systems, conduct partial water changes, or use nitrifying bacteria to convert toxic compounds.
Salinity: Adjust salinity by adding or removing saltwater, freshwater, or using specialized equipment like a reverse osmosis system.
Turbidity: Implement appropriate filtration systems or settling tanks to remove suspended particles."
"On what basis should a farmer decide the dosage and frequency
of minerals application during culture?","Shrimp pond water should have mineral nutrients viz. calcium, magnesium and potassium in the ratio of 1:3:1 with a minimum of 200 ppm calcium. In full strength sea water, Na: K ratio is 28:1.It is observed that lowering the Na: K ratio by increasing the K concentration enhances the survival and growth of shrimp. The farmer should check the mineral concentration at weekly intervals and carry out the necessary measures if the levels are low."
"What is the basis to decide the duration of aeration required for P. vannamei shrimp at
different DOC?","Adequate DO is required for the higher rate of organic matter decomposition by aerobic microorganisms, support ammonia oxidation by denitrifying bacteria, maintain aerobic conditions at the sediment-water interface and better feed utilization. Aerators are required for optimizing the dissolved oxygen and circulation of the pond water. A general guideline for aeration duration is given in the Table.
Day of Culture           Duration
Upto to 30 DOC         4-6 hours
30-60 DOC             6-8 hours
60-90 DOC             8-12 hours
Above 90 DOC          12-16 hours
After 30 DOC aerators should be added @ 1 hp per 300-400 kg of biomass. Aerators are operated 6-8 hours mostly during night hours initially and increased gradually to 10-12 hours during mid phase and 14-16 hours per day during the final phase."
Which type of aerators should be used for better results?,Several studies reported that paddle-wheel aerators or long arm paddle wheel aerators are efficient in providing aeration and irculation of water. It is also reported that long arm and spiral aerators can circulate oxygen to the pond bottom and are more efficient. The aerators should have a rotation per minute (RPM) of 90-120. It is expressed by the farmers that combining long arm paddle wheel and spiral aerators provided better efficiency in terms of circulation and dissolved oxygen levels. Air diffusers (blowers) are also used for providing aeration to ponds by placing circular aeration stones. It was reported that 1 HP air diffuser is equal to 3 HP aerators and is felt that air blowers along with minimum aerators could provide better performance as it minimises the number of aerators and cost of electricity
How can we position the aerators for better performance?,"Aerators are to be placed in such a way that entire pond water is circulated in a circular motion sweeping all the waste material to
the central part of the pond. Some farms adopted sludge pumps or central drainage system to suck the sludge deposited in the centre of the pond. Positioning of paddle wheel aerators diagonally at four corners and long arm paddle wheel /paddle wheel cum spiral aerators in the middle level position respectively helps in water circulation and increasing the aeration. The aerators should be placed 4-5 meter distance from the dykes to prevent erosion."
What is total alkalinity and how does it differ from hardness?,"Alkalinity (the concentration of carbonates, bicarbonates and hydroxyl ions in water) is a measure of the buffering capacity of water to resist change in pH. Hardness is often defined as the sum of polyvalent cat-ion concentrations dissolved in the water. The most common polyvalent cat-ions in fresh water are calcium (Ca++) and magnesium (Mg++). Alkalinity is important for pH optimization and it is essential for plankton development, metabolic activity of the shrimp and affects bottom metabolites. Optimum alkalinity has direct relationship with animal growth and survival. Hardness is the overall concentration of divalent salts (calcium, magnesium, iron, etc.)"
"Whether P. vannamei shrimp needs micro nutrients too? If yes, what are they?","The enriched trace minerals/micronutrients have a significant impact on immune functions,disease resistance, and stress release of shrimp/ fish. The micro-elements are important components of hormones and enzymes, and serve as cofactors and/or activators of a variety of enzymes. The quantum of their requirement is relatively low and the requirement is taken care through the feeds. Hence, farmers need not apply trace elements separately."
What is the weekly growth rate for P. vannamei and what should be done in case of stunted growth?,"A weekly growth rate of 1.3-1.6 g is optimum for P. vannamei and it depends on the seed quality, water quality and feeding efficiency. If the water quality is optimum and growth is not proportional to feed provided, then feeding behavior needs to be checked. Giving one or two doses of feed probiotic could be beneficial and if it is not improving the growth rate then harvesting would be the right choice."
"What are water soluble and insoluble forms of minerals in P. vannamei culture? Explain in
simple terms.","The water soluble fraction of minerals is the bio-available form which is readily available to the shrimp. This bio-available form of minerals from most of the commercial mineral mixtures is very low and it is advisable to test the compounds before application."
Why are minerals so important for P. vannamei shrimp alone vis-Ã -vis tiger shrimp?,"Minerals are important for both tiger and P. vannamei shrimps. Since P. vannamei is cultured in low saline waters which have a relatively low amount of minerals vis-Ã -vis brackish/saline waters, external supplementation mineral is required only for low saline waters."
"What are the important roles of minerals in P. vannamei farming? What is the optimum
requirement level of essential minerals? ","1)Minerals are essential constituents of skeletal structures such as bones and teeth.
2)Minerals play a key role in the maintenance of osmotic pressure, and thus regulate
  the exchange of water and solutes within the animal body.
3)Minerals serve as structural constituents of soft tissues.
4)Minerals are essential for the transmission of nerve impulses and muscle contraction.
5)Minerals play a vital role in the acid-base equilibrium of the body thereby regulating
  the pH of the blood and other body fluids.
6)Minerals serve as essential components of many enzymes, vitamins, hormones, and
  respiratory pigments, or as cofactors in metabolism, catalysts and enzyme activators.
Mineral Name      Recommended level in water and feed
Calcium           Above 150-200 mg/L in water ; 1.25 to 2% (max) in feed
Magnesium        300-400 mg/L in water and 0.2% in feed.
Potassium        150-200 mg/L in water and 0.5 to 1% in feed
Sodium           0.5% in feed
Phosphorous      1 to 1.5% in feed
Chlorine          Depends on the salinity of the water"
"How do the open and ground waters from the coastal and inland areas differ in mineral
composition?","Mineral composition in open source waters from coastal areas is mainly dependent on water salinity. For example, Ca, Mg and Na are more in saline waters compared to low saline waters. The composition of underground bore-well waters depends on the location of the bore well and the depth from which water is extracted. For example, bore wells in coastal areas are fresh/low saline to high saline in nature. Recently shrimp farming has spread to inland saline arid and semi-arid regions of the country viz., Haryana and Rajasthan with the use of ground water.These waters are deficient in K and Mg unlike coastal ground waters."
"Whether water source has a role in the availability of minerals like bore water, creek water,sea water etc?","Yes. The sea/brackishwater has adequate quantity of minerals. In case of low saline waters, they are relatively low in amount, hence require external supplementation. The minerals in the pond water have certain key functions and contribute for the survival and growth. Among the minerals, calcium, magnesium and potassium are important for P. vannamei shrimp. The P. vannamei require calcium, magnesium and potassium in a ratio of 1:3:1 which is the ratio in sea water. We have to maintain this ratio in the low saline waters by adding the minerals externally.The minimum requirements of these minerals at 1 ppt salinity are given below and we need to multiply with the pond salinity."
On what basis one should apply mineral nutrients in P. vannamei pond?,"Shrimp farmers need to test their shrimp pond water once in 10-15 days for their mineral profile and if required, they should apply minerals in an appropriate form based on the composition of the mineral salt. Mineral nutrients are to be supplemented only when there is a deficiency. "
Do brackishwater ponds require mineral supplementation?,"Test the brackishwater pond water for minerals and if required only, one should add minerals. Normally brackishwater has enough amounts of minerals and may not require mineral supplementation."
Do you think that the mineral composition changes as per the salinity?,Yes. The mineral composition changes as per the source water. Generally the sea water and brackishwater bodies have adequate amount of required minerals in required proportion (ratios).The inland waters do not have the required level of minerals in right roportions.
Do you feel that pond age has any influence on the availability of minerals?,Not confirmed. The investigations are in progress to test this hypothesis.
"What are the important soil parameters which indicate the deteriorating conditions of the
pond bottom?","Farmers can test the shrimp pond bottom condition without any laboratory analysis. The bottom soil can be scooped and tested for any bad smell. If there is a smell of a rotten egg, it indicates the bad condition of the soil having hydrogen sulphide. Technically the redox-potential of the soil can be measured on site which gives an indication of oxidation/reduction condition of soil. Organic carbon content of the soil can be estimated in the laboratory for the quantification of organic load accumulation on the pond bottom."
What kind of symptoms do shrimp show which indicate mineral deficiency?,"The common symptoms of mineral deficiency are anorexia, reduced vigour, poor feed intake, shrimp body cramp/bend, at the place of cramp the muscle becomes white and juveniles are more susceptible to ratio differences between the important minerals (Na, K, Ca & Mg). Mineral deficiency in the form of either presence of lesser amount or not in correct proportion might hamper osmo-ionic regulations and metabolic activities. The shrimp will be under stress, low feed intake, water quality deterioration and prone to manifestation of diseases."
Is high turbidity in pond waters harmful to shrimp?,Turbidity in pond waters is generally caused by the planktonic organisms and silt particles. The planktonic turbidity is good to shrimps. The turbidity due to suspended silt particles is harmful and undesirable for a healthy pond. Proper drying of pond bottom after the harvest with recommended pond preparation practices including the strengthening of dykes and provision of optimum aeration minimizes the eroding of soil particles and reduced turbidity.
"Whether pH and minerals are associated? At what pH are the essential minerals available
at a maximum level?","The mineral composition and pH are related. At neutral to slightly alkaline pH (between 7 to 7.5) the availability of P, Ca, K and Mg is maximum and functions of the mineral nutrients are also adequate. The micro nutrients whose requirements are very small are also available at a higher pH though their availability is more at low pH."
Whether water temperature has any role in the availability and functions of essential minerals?,The optimum temperature for P. vannamei is 280 C to 320 C. Continued high or lower temperature vis-à-vis the optimum level negatively affects the metabolic activity of the shrimp and their growth is disturbed. Higher temperature increases the salinity of the water evaporation of pond water and thus indirectly increases the mineral composition
"Whether the P. vannamei require same ratio of essential minerals from post larvae to adult?
Or at what stages do it requires more/less?",P. vannamei require same ratio of essential minerals from post larvae to adult.
"Whether shrimp feed contains the required level of mineral nutrients which is essential for metabolic and physiological activity of the shrimp?
","Normally, a balanced shrimp feed has the required level of minerals for the metabolic activity of shrimp. Brackishwater and high saline waters have the required minerals at optimum levels, hence additional supplementation of minerals is not required. However, in case of low saline waters, additional mineral supplementation is required to raise the levels at par with the mineral composition of shrimp. Otherwise, due to osmotic pressure, the minerals and ions from the shrimp move to the water and the animal will be under stress. The stressed shrimp cannot feed properly. The uneaten feed as a waste reaches the bottom and increases the bottom metabolites.Therefore, supplementation of minerals in low saline waters is necessary mainly to keep the rearing medium at par in mineral levels to that of shrimp."
"What is the osmo-ionic regulation in P. vannamei? Whether external supplementation of
mineral is required?","The shrimp lives in oceanic waters which has the optimum level of required minerals. The minerals calcium, magnesium, potassium, phosphorous,chlorine, sulphur and trace elements are essential for its exoskeleton and energy metabolism. Even though the mineral ions enter and exit through body exoskeleton and gills, the animal and the living medium are having equal concentration of minerals, the ionic composition will not change. If the rearing medium is having lower proportion of required minerals then external application of minerals is required (especially in low saline soils)."
Whether minerals in soil are as such available in water phase and available for shrimp?,"All the portions of minerals present in the soil are not bio-available. When the water is added to soil, only the water soluble portion of the particular mineral is bio-available although the total quantity of mineral is quite high. This availability may vary based on the soil characteristics also."
"Whether DO level is same in all the places at different depths of the P. vannamei pond?
While measuring DO which is the correct way for measuring the DO of the pond?",Dissolved Oxygen levels may vary at the surface level in the dead corners where the water circulation is not effective. As the depth increases the level of DO might be gradually decreasing.Water bottles for DO measurement are available and the water should be drawn at least two feet below surface level.
"When ground water is used for topping up of shrimp pond water what parameters need to
be checked?","The mineral composition, alkalinity, hardness and iron content of the ground water are to be checked before its use. However, as per the CAA guidelines, ground water should not be used for shrimp culture."
"When should a farmer apply gypsum salt? When should dolomite be preferred instead of
agri-lime?","If the alkalinity level is more than 50 ppm, calcium carbonate, application of agri-lime to increase the water hardness to the optimum level will not work. Under this condition, application of Gypsum (CaSO4·2H2O) should be preferred. For one ha of shrimp pond, 19kg of gypsum can enhance 1 ppm calcium carbonate.
"
"When the rapid fluctuation in temperature/diurnal variation is high what are the parameters
need to be checked?",The term diurnal more often refers to the change of temperature from the daytime high to the night time low. The important parameters to be measured are total available nitrogen and pH which are correlated with temperature.
How does sudden heavy rain fall affect the pond condition and what needs to be done?,"During heavy rainfall, the pond water becomes acidic and the pH goes down and the plankton crashes. Therefore, lime has to be
applied to enhance the pH and plankton production. During heavy rain, the shrimp may be under stress due to low temperature and
change in salinity. Therefore, feeding should be checked based on the check tray and behaviour of shrimp in the pond."
Whether aeration helps in ammonia management in the pond water?,"Yes. Aeration keeps the water in motion and increases the dissolved oxygen in the pond water. Aeration may help in immobilization of ammonia and its release from the pond due to the circulation of pond water. The aerators stimulate bacterial growth and activity which consequently maintain the quality of water. Placement of aerators in the corners allows for solid accumulation in the centre of the pond, which can then be removed if a centre drain is used or will facilitate solids removal during pond drying time. Additional aerators can be placed in the middle of the pond length providing for additional oxygenation and circulation."
"6. Some technicians opine that ammonia upto a certain level is required for shrimp growth.
Is it true? Please give explanation.","No. The technicians might have opined that nitrogen from ammonia may be useful for the growth of beneficial bacteria and phytoplankton growth. It is actually the ammoniacal form of N (NH4 ) which is essential for this purpose. However, ammonia beyond permissible limit is toxic to the shrimp and at low level could affect the growth of shrimp."
"How far are water quality testing kits in the market accurate?
","Water quality test kits cannot be 100% accurate like laboratory results. However, ± 5% deviation is allowed for field measurement to
take immediate management measures."
"Farmers started using chemical fertilizers like Ammonium chloride/Ammonium sulphate,
DAP, MOP etc. for water culture in P. vannamei farming? Is it necessary?","Application of fertilizers is mostly done in low saline P. vannamei culture. Nitrogenous fertilizers like Ammonium chloride/Ammonium
sulphate are being applied to provide nitrogen for better phytoplankton production. The compound fertilizers like Di-ammonium phosphate (DAP) will provide both nitrogen and phosphorous required for the bloom development. The Murate of Potash (MOP) might be applied as a mineral nutrient to enhance the potassium content in the low saline waters."
"What should be the optimal diurnal DO variation expected? What does it indicate if it is
too high or too low and what measures need to be taken to correct the same?","Diurnal variation in DO should not be too high or too low. A diurnal variation of 3 to 4 ppm is fine. If the variation is too high, then it indicates over bloom and if it is too low it shows low bloom.Accordingly, if it is high bloom carry out 10-20%water exchange. Incase low bloom, apply a dose of fermented juice or dolomite @ 40 kg/ha."
Whether shrimp pond water pH varies diurnally? If so what needs to be done?,"The pH should be monitored before dawn for the low level and in the afternoon for high level. The magnitude of diurnal fluctuation is dependent upon the density of organisms producing and consuming CO2 and on the buffering capacity of pond water (greater buffer capacity at higher alkalinity). i.e., diurnal fluctuation of pH is not great in pond water of higher alkalinity.An alkalinity above 50 ppm CaCO3 is preferred in prawn/shrimp ponds. Intervention, such as flushing of ponds to reduce the pH, is advisable when the magnitude of diurnal fluctuation in pH is great. Nevertheless, one should notice that the drastic fluctuation of pH would cause stress
to culture organisms. Normally, it should maintain the daily fluctuation within a range of 0.5 difference. Control of pH is essential for minimizing ammonia and H2S toxicity."
"Whether application of jaggery for pH reduction, garlic for gut digestibility etc. really works?","It has been observed that farmers based on their Indigenous Technical Knowledge (ITK) do use jaggery which helps in reducing pH as it creates fermented condition in the pond, turmeric powder for disinfection and garlic paste for enhancing gut digestibility. It seems they are facilitating the purpose for which they are applied."
What are all the management measures required to keep the pond bottom clean and prevent its deterioration?,"Maintenance of bloom and optimum feed management are the key factors to keep the pond bottom clean. In order to prevent
the deterioration of pond bottom, chain dragging is recommended from the beginning of the crop after 15 DOC It is advisable not to
practice chain dragging after 60 DOC as it will create more harm."
Whether PCR screening protocol is available for diseases other than WSSV? Whether screening for WSSV is necessary for P. vannamei also?,"Yes, PCR test is available for IHHNV, MBV, HPV, TSV, YHV (Viruses), EHP and for many of the vibrios, particularly for the EMS caused by V. parahaemolyticus. Screening of P. vannamei for WSSV is necessary as non-SPF pond reared broodstocks could have been used for seed production."
What are all the morphological parameters/features a farmer should look to assess the health of P. vannamei shrimp?,"Farmers should always monitor the color, activity, swimming pattern, appendages, gill, gut and hepatopancreas of the shrimp.
If there is an antenna cut, bacterial infection is suspected. Color change or pinkish coloration will indicate WSSV/ bacterial
infection. Gill choking is expected if too much plankton is there in the pond. Status of gut and hepatopancreas should be seen, if
they are white in color and empty, then EMS or bacterial infection is suspected."
"Running mortality occurs after 60 DOC in culture systems on a daily basis, what could be
the cause for this and how can we control this?",As of now it appears that RMS is due to high stocking density and inadequate pond preparation.Select healthy post larvae by carefully adopting the suggested screening procedures. It is preferable to stock P. vannamei in low density and give sufficient gap (3-4 weeks) between two cultures.
"What is the reason for white muscle formation in P. vannamei? How
can it be prevented and managed after its outbreak?","Any kind of stress, including DO problem can produce white muscle in P. vannamei. The shrimp should be examined further to know the cause and accordingly suggestions should be given."
What are green and yellow colonies of Vibrio and what is the limit in P. vannamei farm?,"Green and yellow colonies are based on sucrose fermentation that is present in media. Green colonies cannot ferment sucrose. In general, it is thought that green colonies are pathogens. However, yellow colonies can also be pathogens. If the number of colonies is less than 100 per ml, it would be good."
"What is Early Mortality Syndrome (EMS/AHPND), what are
its symptoms? How to prevent/manage this?","In EMS, nearing 100% mortality occurs within 30-40 days of stocking. There will be white gut and HP size will also be very small
and when pressed between the fingers, it will feel rubbery. EMS comes through larvae or brood stock. If EMS is already there in an area, it can also get transferred through water. Larvae should be tested (both PCR and stress test) and pond should be well prepared. During infection, feed management should be done very carefully. Use of probiotics also helps to a great extent. So far, EMS has not been reported in India. Many other bacterial infections might also have majority of these symptoms.
"
